Seller SKU,Manufacturer Part Number,Brand Name,Item Name,Bullet points,Product Description,Search Terms,Barcode
OMBM2327,OMBM2327,Olsenmark,Olsenmark OMCM2327 Arabic Bread Maker,"• High quality and halogen tube 
 • 40CM diameter Big size Arabic bread maker baking plate
 • 3.5mm thickness die cast cooking plate for nice tasting
 • Cold touch handles
 • Non- stick coating place for easy cleaning
 • 280 ℃ high temperature for fast roasting 
 • ON/OFF switch and blue lamp design
 • Power supply: 220- 240V. 50/60Hz,2200W 
 • Color :White
 • Material: Metal",Olsenmark OMCM2327 Arabic Bread Maker,"Olsenmark Arabic Bread Maker,Arabic Bread Maker, Bread Maker, Best Arabic Bread Maker, Best Bread Maker",
OMBS1691,OMBS1691,Olsenmark,Olsenmark OMBS1691 Mechanical Personal Scale,"• Maximum weight of 130 Kg
 • 0.7 mm Cold rolling steel, Safety in use
 • Safety round corner design
 • Colorful paper cover
 • Health and environmental protection, without battery
 • Stand weighing, easy to use
 • Dial readings, responsive, clear
 • Use anti-skid pads at the bottom of the scale, prevent slippery, prevent, safety in use",Olsenmark OMBS1691 Mechanical Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBS1693,OMBS1693,Olsenmark,Olsenmark OMBS1693 Mechanical Personal Scale,"• Maximum weight of 130 Kg
 • 0.7 mm Cold rolling steel, Safety in use
 • Safety round corner design
 • Colorful paper cover
 • Health and environmental protection, without battery
 • Stand weighing, easy to use
 • Dial readings, responsive, clear
 • Use anti-skid pads at the bottom of the scale, prevent slippery, prevent, safety in use",Olsenmark OMBS1693 Mechanical Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBS1694,OMBS1694,Olsenmark,Olsenmark OMBS1694 Digital Personal Scale,"• Equipped with a high precise strain gauge sensor system
 • Tempered safety glass platform
 • Capacity: 180KG
 • LCD display
 • Auto-on switch
 • Transferable units: kg/ lb / st
 • Auto zero resetting & Auto power off
 • Low power & Over-load indicator
 • 31V CR2032 Lithium battery (included)",Olsenmark OMBS1694 Digital Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBS2256,OMBS2256,Olsenmark,Olsenmark OMBS2256 Digital Personal Scale,"• Digital personal scale
 • High precision strain gauge sensors system
 • Tempered glass: 300x300x6mm
 • Capacity: 180KG (Unit: kg,lb,st)
 • Graduation: d=100g
 • LCD display size: 75X31 mm
 • Auto on / Auto zero - Auto off
 • Over load indication
 • Low battery indication
 • Power: 1 x3V CR2032 Li-battery
 • AC: 220 240V -5060/Hz",Olsenmark OMBS2256 Digital Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBS2257,OMBS2257,Olsenmark,Olsenmark OMBS2257 Digital Personal Scale,"• Digital personal scale
 • High precision strain gauge sensors system
 • Tempered glass: 300x300x6mm
 • Capacity: 180KG (Unit: kg,lb,st)
 • Graduation: d=100g
 • LCD display size: 75x31 mm
 • Auto on / Auto zero - Auto off
 • Over load indication
 • Low battery indication
 • Power: 1 x3V CR2032 Li-battery",Olsenmark OMBS2257 Digital Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBS2322,OMBS2322,Olsenmark,Olsenmark OMBS2322 Digital Personal Scale,"• High Precision Strain Gauge Sensors System 
 • 300*300*6mm Tempered Glass Platform 
 • Capacity: 180kg (Unit: Kg Lb. St) 
 • Graduation: D=100g 
 • LCD Size: 82x42mm 
 • Blue Backlight Function 
 • Auto Off Function 
 • Over Load Indication
 • Low Battery Indication 
 • Power: 2*CR2032 Lithium Battery
 • Color: Black
 • Material: Tempered Glass + ABS",Olsenmark OMBS2322 Digital Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBS2323,OMBS2323,Olsenmark,Olsenmark OMBS2323 Digital Personal Scale,"• High Precision Strain Gauge Sensors System 
 • Ø330*6mm Tempered Glass Platform 
 • Capacity: 180kg (Unit:Kg Lb St) 
 • Graduation: D=100g 
 • Lcd Size:Ø59mm 
 • Blue Backlight Function 
 • Auto Off Function 
 • Over Load Indication
 • Low Battery Indication 
 • Power: 2*Cr2032 Lithium Battery
 • Color: Black
 • Material: Tempered Glass + Abs",Olsenmark OMBS2323 Digital Personal Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, olsenmark scale, olsenmark personal scale",
OMBT2270,OMBT2270,Olsenmark,Olsenmark OMBT2270 Toaster,"• 4 slice Toaster 
 • 6 variable browning control
 • Stop button
 • Auto safety shut off
 • Crumb tray
 • Color: White/Grey
 • Stainless steel grill
 • Slot size: 245x23
 •PP material
 • AC: 220-240V 50/60Hz; 1200W",Olsenmark OMBT2270 Toaster,"bread toaster, Bread Toaster, toaster, cooking item, kitchen cooking product, toster, kitchen accessory, best toaster, 4 slice bread toaster, olsenmark toaster, olsenmark bread toaster, cheap toaster",
OMBT2271,OMBT2271,Olsenmark,Olsenmark OMBT2271 Toaster,"• 2 slice Toaster
 • Compact design
 • 7 variable browning control
 • Auto safety shut off
 • Hinged crumb tray
 • Color: White/Grey
 • Stainless steel grill
 • Slot size: 130x30 mm
 • PP material
 • AC: 220-240V 50/60Hz; 700W",Olsenmark OMBT2271 Toaster,"bread toaster, Bread Toaster, toaster, cooking item, kitchen cooking product, toster, kitchen accessory, best toaster, 2 slice bread toaster, olsenmark toaster, olsenmark bread toaster, cheap toaster",
OMC2246,OMC2246,Olsenmark,Olsenmark OMC2246 Multi Chopper,"• 500Ml Plasti C Mixing Bowl
 • Chopper With Multiple Usage Functions
 • Simple & Fast:- Chop / Blend- Stir- Mix - For Vegetables / Fruit/ Herbs / Cheese / Baby Food / Drinks / Spices
 • Stainless Steel Cutting Blades (4 Blades Total)
 •2 Working Speeds (High / Low) / Ergonomic Button
 • Easyto Use / No Leakage
 • Simple Cleaning And Maintenance
 •Color :White Body With Black Button 
 • Material: Abs, As ,Pa, Ss 
 • Power: 220-240V-50/60Hz, 300-400W",Olsenmark OMC2246 Multi Chopper,"chopper, kitchen accessory, olsenmark chopper, multifunctional chooper, sharp chopper",
OMC2310,OMC2310,Olsenmark,"Olsenmark OMC2310 Chopper, 260W","• Powerful Chopper Motor- 260W 
 • ABS Housing 
 • 500ml Transparent PS Jar 
 • 2 Speeds 
 • Meat Grinder and Egg Beater Function 
 • Safety Switch 
 • AC 220-240V 50/60Hz 260W","Olsenmark OMC2310 Chopper, 260W","chopper, kitchen accessory, olsenmark chopper, multifunctional chooper, sharp chopper",
OMC2311,OMC2311,Olsenmark,Olsenmark OMC2311 Chopper,"• Powerful! Copper Motor- 350W
 • ABS Housing
 • 1.5L Transparent PS Jar
 • Stainless Steel Blade
 • Micro Switch And Safety Switch
 • AC 220-240V 50/60Hz 350W",Olsenmark OMC2311 Chopper,"chopper, kitchen accessory, olsenmark chopper, multifunctional chooper, sharp chopper",
OMC2313,OMC2313,Olsenmark,Olsenmark OMC2313 Chopper,"• 1.8L 
 • Glass bowl and ABS housing 
 • SUS 304 Stainless steel blade
 • Double gears double knives
 • 10 seconds cut the meat rapidly 
 • Meat mincing, chilly and bean grinding, puree making, only in one step operation 
 • AC: 220-240V 50/60Hz 250W
 • Color:White with black
 • Material: ABS & GLASS",Olsenmark OMC2313 Chopper,"salad maker, Olsenmark salad maker, chopper, kitchen accessory, Olsenmark Chopper, choppers",
OMCG2145,OMCG2145,Olsenmark,Olsenmark OMCG2145 Coffee Grinder,"• Power: 2000 Watts
 • Voltage 220- 240V 50/60Hz
 • Transparent Lid: Yes
 • Soft Finger Trip on/off Switch: Yes
 • Stainless Steel Blade: Yes
 • Stainless Steel Jar: Yes
 • Capacity: 300ml.",Olsenmark OMCG2145 Coffee Grinder,"olsenmark coffe maker, coffe grinder, kitchen item, coffe maker, cofe grinder",
OMCG2213,OMCG2213,Olsenmark,Olsenmark OMCG2213 Coffee Grinder,"• Transparent Lid for easy view
 • Fills container easily
 • Perfect for grinding fresh coffee beans and spices
 • Detachable stainless steel cup
 • Stainless steel blades
 • Hidden cord storage
 • 70 gram maximum capacity
 • AC: 220- 240V— 50/60Hz",Olsenmark OMCG2213 Coffee Grinder,"olsenmark coffe maker, coffe grinder, kitchen item, coffe maker, cofe grinder",
OMCG2227,OMCG2227,Olsenmark,Olsenmark OMCG2227 Coffee Grinder,"• Coffee and spice grinder
 • Stainless steel bowl
 • Smooth ON/OFF switch
 • Grinder jar capacity: 50g
 • Weight: 1.2 Kg
 • 200 watts with overheat protection
 • Transport lid, lid safety switch
 • Long life stainless steel cutting blades
 • Grinds coffee bean, spices and dried fruits
 • AC: 220-240V ~50/60Hz",Olsenmark OMCG2227 Coffee Grinder,"olsenmark coffe maker, coffe grinder, kitchen item, coffe maker, cofe grinder",
OMCH1639,OMCH1639,Olsenmark,Olsenmark OMCH1639 Ceramic Heater,"• Power: 1400W/2800W 
 • Safety Switch, Carry Handle, Quick Warm function
 • PP Plastic Material 
 • Safety Grill & Reflector
 • Product Color: Red & Black
 • Power Supply: 220V- 240V 50/60Hz",Olsenmark OMCH1639 Ceramic Heater,"Heater, Room Heater, Fan Heater, Olsenmark Fan Heater,Best Fan Heater,Ceramic Heater, Olsenmark Ceramic Heater",
OMCH1640,OMCH1640,Olsenmark,Olsenmark OMCH1640 Ceramic Heater,"• Power: 2000W 
 • Product Size: 190 x 150 x 250mm 
 • Color: Red & Black 
 • PP Material 
 • Power Supply: 220V- 240V 50/60Hz 
 • Product Weight: 2.6kg",Olsenmark OMCH1640 Ceramic Heater,"Heater, Room Heater, Fan Heater, Olsenmark Fan Heater,Best Fan Heater,Ceramic Heater, Olsenmark Ceramic Heater",
OMCJ2206,OMCJ2206,Olsenmark,"Olsenmark OMCJ2206 Citrus Juicer, 100W","• Stainless Steel High class housing 
 • Transparent dust cover 
 • Filter facility 
 • CB approval 
 • 1.2M Power cord 
 • PC, PP, Copper, Stainless / Steel, ABS Material 
 • AC: 220-240V 50/60 Hz","Olsenmark OMCJ2206 Citrus Juicer, 100W","juicer, olsenmark juicer, kitchen item, kitchen appliances, citrus juicer, kitchen accessories, olsenmark citrus juicer",
OMCJ2287,OMCJ2287,Olsenmark,Olsenmark OMCJ2287 Citrus Juicer,"• 1.2 liters capacity
 • In 2 side gear Rotation
 • With Transparent Cover
 • Automatic function
 • Detachable parts for ease to use operating and cleaning
 • Material: PP + AS
 • Color: Black
 • AC: 220-240V 50/60Hz 40W",Olsenmark OMCJ2287 Citrus Juicer,"juicer, olsenmark juicer, kitchen item, kitchen appliances, citrus juicer, kitchen accessories",
OMCM2325,OMCM2325,Olsenmark,Olsenmark OMCM2325 Electric Cake Maker 11 Inch,"• New Fashion Bundt Cake Makes Design
 • Magic Rotary Feature Spreads Batter Evenly
 • Non-Stick Cooking Plates
 • Cake Size 260mm ( 11 Inch)
 • Power On And Ready Indicator Lights
 • Cool Touch Handle
 • Cake Ready Carrier Plate
 • Power Supply: 220- 240V. 50/60Hz,1600W 
 • Color: Black
 • Material: Bakelite",Olsenmark OMCM2325 Electric Cake Maker 11 Inch,"Cake Maker, Cake Make, Cake, Olsenmark Cake Maker, Best Cake Maker, Electric Cake maker",
OMCM2326,OMCM2326,Olsenmark,Olsenmark OMCM2326 Electric Cake Maker 8 Inch,"• New fashion Bundt cake make design 
 • Magic rotary feature spreads batter evenly
 • Non-stick cooking plates, cake size 188mm ( 8 inch) 
 • Power on and read indicator lights
 • Cool touch handle 
 • cake ready carrier plate 
 • Power supply: 220- 240V. 50/60Hz,1200W",Olsenmark OMCM2326 Electric Cake Maker 8 Inch,"Cake Maker, Cake Make, Cake, Olsenmark Cake Maker, Best Cake Maker, Electric Cake maker",
OMCM2342,OMCM2342,Olsenmark,Olsenmark OMGM2342 Cappuccino Maker,"• Capacity: 240ML
 • Multi-Function: espresso, cappuccino or latte
 • Steam/ boiler system with built-in safety valve
 • Over-heat & over-pressure protecting device
 • Illuminated on/off switch
 • Stainless steel decoration plate
 • Removable drip tray for easy clean-up
 • 4 cups stainless steel filter
 • Die-cast aluminum filter holder
 • Stainless steel & glass carafe
 • AC: 200-240V 50/60Hz 800W 
 • Color: Black
 • Material: Plastic +SS",Olsenmark OMGM2342 Cappuccino Maker,"Cappuccino Maker, coffee maker, coffe makr, Olsenmark coffe maker, Olsenmark Cappuccino Maker",
OMCS1048,OMCS1048,Olsenmark,Olsenmark OMCS1048 Car Stereo,"• Bluetooth function
 • FM electronic tining with 18 preset radio
 • USB/SD/mp3 playback ability
 • Over weight bass(loud)
 • 12/24 clock display function
 • Aux/audio signal output
 • ID-3 tag function,folder function
 • Maximum 200w powerful putput(4x50w)
 • Play mp3 pormat
 • 4rca output
 • Dynamic equaliser
 • Play usb/sd/mmc and different memory card
 • Multifaction remote control
 • Color lcd digital mask display
 • DC 12v",Olsenmark OMCS1048 Car Stereo,"car player, music acessory, car acessory, car accessory, mp3 player, music player, Olsenmark car music player, Olsenmark mp3 player",
OMCV1745,OMCV1745,Olsenmark,"Olsenmark OMVC1745 Car Vaccum Cleaner, 120W","• Car Vacuum Cleaner
 • Dc Motor
 • Flat Suction Nozzle, Extra Soft Tube, Brush Suction Nozzle
 • With Led Light
 • 5m Cable
 • Power: Dc: 12v 120w 2000pa
 • Color: Coffee
 • Material: Abs","Olsenmark OMVC1745 Car Vaccum Cleaner, 120W","cleaning, cleaner,Olsenmark vaccum cleaner, vaccum cleaner, vacum cleaner, home appliances, floor cleaner, Car Vaccum Cleaner",
OMDI1501,OMDI1501,Olsenmark,Olsenmark OMDI1501 Automatic Dry Iron,"• Iron type: Dry Iron
 • Base Plate Type: Nonstick Teflon sole plate
 • Power consumption: 1200Watts
 • Input Power: AC 220-240V 50/60Hz
 • Light Indicator : Yes
 • Details: Non Stick golden Teflon Plate
 • Heavy weight iron
 • Overheat Protection
 • Automatic Cut Off
 • Thermostatic Pilot lamp indicator
 • Temperature Settings Dial",Olsenmark OMDI1501 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1503,OMDI1503,Olsenmark,Olsenmark OMDI1503 Deluxe Automatic Dry Iron,"• Temperature setting did helps to set the ideal heat setting for each fabric type 
 • Thermostat controlled pilot lamp
 • Non-stick golden Teflon sole plate for smooth and non-stick ironing results 
 • Super deluxe heavy weight iron 
 • Protection against overheating 
 • Automatic cut-off 
 • 60 microns Teflon coating 
 • AC 220-240V 50/60Hz 1000-1200W",Olsenmark OMDI1503 Deluxe Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1538,OMDI1538,Olsenmark,Olsenmark OMDI1538 Automatic Dry Iron,"• Thermostatic Pilot Lamp Indicator Offers Operational Safety 
 • Temperature Settings Dial Gives Perfect Ironing Results All Over The Fabric 
 • Non-Stick Golden Teflon Sole Plate For Smooth And Non-Stick Ironing Results 
 • Super Deluxe Heavy Weight Iron 
 • Big Fabric Guide On The Body Makes It Easier To Set Temperatures-Sure Glide 
 • Heal Rest Makes Storing During And After Use 
 • Interchangeable Cord 
 • Cord Wrap Facility Reduces Clutter 
 • Protection Against Over Heating 
 • Automatic Cut Off 
 • 60 Microns Teflon Coating • AC 220-240V 50/60Hz 1000-1200W",Olsenmark OMDI1538 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1561,OMDI1561,Olsenmark,Olsenmark OMDI1561 Automatic Dry Iron,"• Thermostatic pilot lamp indicator offer operational safety 
 • Temperature setting dial gives perfect ironing results all over the fabric 
 • Non-stick golden Teflon soleplate for smooth and non-stick ironing results 
 • Super deluxe heavy weight iron 
 • Heal rest makes storing during and after use 
 • Interchangeable cord • Cord wrap facility reduces clutter 
 • Protection against overheating 
 • Automatic cut off 
 • 60 Microns Teflon coating 
 • AC: 220-240V 50/60Hz 1000-1200W",Olsenmark OMDI1561 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1590,OMDI1590,Olsenmark,Olsenmark OMDI1590 Automatic Dry Iron,"• Nonstick sole plate.
 • Adjustable temperature control.
 • New humanized design.
 • LED head pilot indicator light. 
 • Over heat protection Safety protection. 
 • Ac 220-240v 50-60Hz 1000W.",Olsenmark OMDI1590 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1679,OMDI1679,Olsenmark,Olsenmark OMDI1679 Dry Iron,"• Dry Ironing function 
 • Durable & non-stick coating plate 
 • Adjustable temperature control 
 • Gross weight: 0.68 Kg 
 • Overheat Safety Protection 
 • Pilot Indicator light 
 • AC: 220-240-50/60Hz 1000W",Olsenmark OMDI1679 Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1696,OMDI1696,Olsenmark,Olsenmark OMDI1696 Dry Iron,"• Dry iron function 
 • Adjustable temperature 
 • Overheat safety protection 
 • Temperature control 
 • Power indicator 
 • Golden non-stick coating soleplate 
 • Color: White & pink 
 • AC 220-240V -50/60Hz, 1400W",Olsenmark OMDI1696 Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1716,OMDI1716,Olsenmark,Olsenmark OMDI1716 Automatic Dry Iron,"• Thermostatic Pilot Lamp Indicator Offers Operational Safety 
 • Chrome Shell Golden Teflon Soleplate 
 • Easy Temperature Settings 
 • Cord Wrap Facility Reduces Clutter 
 • Protection Against Over Heating 
 • Automatic Cut Off 
 • 60 Microns Teflon Coating 
 • Color: White With Silver & Gold 
 • Material: Plastic, Aluminum, Copper 
 • AC: 220-240V 50/60Hz; 1000W",Olsenmark OMDI1716 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1741,OMDI1741,Olsenmark,Olsenmark OMDI1741 Automatic Dry Iron,"• Iron type: Dry iron
 • Base Plate Type: Nonstick Teflon sole plate
 • Power consumption: 1200Watts
 • Input Power: AC 220-240V 50/60Hz
 • Light Indicator : Yes
 • Details: Non Stick golden Teflon Plate
 • Heavy weight iron
 • Overheat Protection
 • Automatic Cut Off
 • Thermostatic Pilot lamp indicator
 • Temperature Settings Dial",Olsenmark OMDI1741 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1743_1,OMDI1743,Olsenmark,Olsenmark OMDI1743_1 Automatic Dry Iron,"• Iron Type : Dry Iron
 • Color : Off White
 • Base Plate Type : Non-stick Coated
 • Power Consumption : 1200 Watt
 • Input Power : AC 220-240V 50/60Hz
 • Self-Cleaning System : Yes
 • Light Indicator : Yes
 • Details : 60 Microns Teflon coating
 • Super deluxe heavy weight iron
 • Fabric guide for setting temperatures",Olsenmark OMDI1743_1 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDI1743_2,OMDI1743,Olsenmark,Olsenmark OMDI1743_2 Automatic Dry Iron,"• Iron Type : Dry Iron
 • Color : Off White
 • Base Plate Type : Non-stick Coated
 • Power Consumption : 1200 Watt
 • Input Power : AC 220-240V 50/60Hz
 • Self-Cleaning System : Yes
 • Light Indicator : Yes
 • Details : 60 Microns Teflon coating
 • Super deluxe heavy weight iron
 • Fabric guide for setting temperatures",Olsenmark OMDI1743_2 Automatic Dry Iron,"iron, dry iron, home appliance, olsenmark iron, teflon iron, Iron Box",
OMDVD1043,OMDVD1043,Olsenmark,Olsenmark OMDVD1043 HDMIDVD Player,"• Compatible with DVD DIVX, X1vD, MPEG4 VCD.MP3. CD.DVD-R/RWDVD+FURW,CD-RIFtW.CD-TEXT, Picture CD,SVCD,JPEO and HDCD discs MP3/WMA, AAC,MP2/30P&FLWMPEC11/2/MPMWMNAACiMP2
 • 5.1 CH output
 • USB Function
 • Cards reader
 • Karaoke'2
 • HDMI 1080P
 • Full function remote control
 • High Definition
 • 15:9 and 4:3 Iwo screen sizes for TV
 • CD Ripping function
 • Y/CB/CR Interface and Video
 • Support multi dialog and subtitle languages
 • Ultra Slim & Stylish Design
 • NTSC/PAL /AUTO Multi Progressive Scan Video output
 • AC: 110-240V 50/60Hz",Olsenmark OMDVD1043 HDMIDVD Player,"DVD player, dvd player, Olsenmark dvd player, player, dvd plyr",
OME2584,OME2584,Olsenmark,Olsenmark OME2584NV Emergency Lantern,"• 24pcs High luminous intensity LED light
 • Operating time: 20 Hours [low power] | 12 Hours [high power] Replaceable battery pack
 • Overcharge protection
 • LED Charging indicator
 • Electroplated reflector
 • Charging time: 18-24 Hours
 • AC 220-240V 50/60Hz",Olsenmark OME2584NV Emergency Lantern,"emergency light, lantern, olsenmark light, rechargeable light, olsenmark lantern, olsenmark torch, multifunction led light, led light, multifunctional light",
OME2584NV,OME2584NV,Olsenmark,Olsenmark OME2584NV Rechargeable Led Emergency Lantern,"• 24 High luminous intensity white LED 
 • LEDs run cool, keep lantern cool to the torch 
 • Automatic emergency lighting during power failure 
 • Battery runs 20 hours on low, 12 hours on high power 
 • Energy efficient design: offers a much large battery life 
 • Replaceable battery pack 
 • Overcharge protection 
 • Deep discharge protection 
 • Charging indicator LED 
 • Electroplated reflector 
 • Charging time 18-24 hours for full charge 
 • AC: 220-240V 50/60Hz",Olsenmark OME2584NV Rechargeable Led Emergency Lantern,"emergency light, lantern, olsenmark light, rechargeable light, olsenmark lantern, olsenmark torch, multifunction led light, led light, multifunctional light",
OME2585,OME2585,Olsenmark,Olsenmark OME2585 High Power 3D Led Lantern,"• 24pieces High luminous intensity LED light
 • Overcharge protection
 • LED Charging indicator
 • Electroplated reflector
 • Type: Camping Lantern
 • Color: Red
 • Material: Plastic
 • Shipping Weight: 2 KGs
 • Charging time: 18-24 Hours
 • Voltage: AC 220-240V
 • Frequency: 50/60Hz
 • Operating time: 20 Hours [low power], 12 Hours [high power]
 • Replaceable battery pack",Olsenmark OME2585 High Power 3D Led Lantern,"emergency light, lantern, olsenmark light, rechargeable light, olsenmark lantern, olsenmark, multifunction led light, led light, multifunctional light, 3D light",
